model,model_display,method,method_display,core_n,core_pass,core_ci95_low,core_ci95_high,gemini_n,gemini_faithfulness,gemini_ci95_low,gemini_ci95_high,hybrid_faithfulness,hybrid_ci95_low,hybrid_ci95_high,naturalness_n,naturalness,naturalness_ci95_low,naturalness_ci95_high
qwen3_32b_4bit_local,Qwen3-32B-4bit (local),naive,Naive,512,0.3359375,0.29638194609723306,0.37793659281183783,154,0.42207792207792205,0.3469017453809921,0.5010469483315787,0.23376623376623376,0.17390341055789038,0.30658795962672664,154,3.5876623376623376,3.3885281385281387,3.7781385281385282
qwen3_32b_4bit_local,Qwen3-32B-4bit (local),field_constrained,Field Constrained,512,0.47265625,0.4297760363126683,0.5159437201721769,154,0.4805194805194805,0.4030490437857395,0.5589381296424033,0.4025974025974026,0.32842326443078135,0.4815126027099323,154,3.3452380952380953,3.1742424242424243,3.5162337662337664
qwen3_32b_4bit_local,Qwen3-32B-4bit (local),extract_localize_verify,ELV,512,0.44140625,0.3989897414091203,0.484695451058405,154,0.45454545454545453,0.3779644921601537,0.5333389125055127,0.35064935064935066,0.27975421881498386,0.428814110800777,154,3.5465367965367967,3.356060606060606,3.732683982683983
qwen3_32b_4bit_local,Qwen3-32B-4bit (local),protected_slot_realization,Protected,512,0.591796875,0.5486932461802594,0.6335332856206175,154,0.551948051948052,0.47309327840473736,0.6282742591202154,0.4935064935064935,0.41566862130765647,0.5716604365017245,154,3.1363636363636362,2.9718614718614718,3.2998106060606056
deepseek_v4_flash,DeepSeek V4 Flash,naive,Naive,512,0.408203125,0.36646671437938244,0.45130675381974056,154,0.7272727272727273,0.6520431549527855,0.7914398217188828,0.33766233766233766,0.2677309182760858,0.4154955269584369,154,4.1147186147186146,3.9664502164502164,4.254329004329004
deepseek_v4_flash,DeepSeek V4 Flash,field_constrained,Field Constrained,512,0.45703125,0.4143617400217209,0.5003407344544644,154,0.8116883116883117,0.7426409829839141,0.8655642421658026,0.36363636363636365,0.2918363944491781,0.442073819547821,154,3.8744588744588744,3.7413419913419914,4.007602813852814
deepseek_v4_flash,DeepSeek V4 Flash,extract_localize_verify,ELV,512,0.552734375,0.5094325879882414,0.5952507387909859,154,0.8441558441558441,0.7785793437555855,0.8929805923472267,0.525974025974026,0.4474423133206387,0.6032414554418376,154,3.829004329004329,3.6937229437229435,3.95995670995671
deepseek_v4_flash,DeepSeek V4 Flash,protected_slot_realization,Protected,512,0.83203125,0.7972032842381693,0.861913958445854,154,0.7987012987012987,0.7284573668385137,0.8544059739299648,0.7207792207792207,0.6452138349372998,0.7855981995437495,154,3.435064935064935,3.29978354978355,3.564935064935065
deepseek_v4_pro,DeepSeek V4 Pro,naive,Naive,512,0.439453125,0.39707123443408704,0.48273679778235584,154,0.7922077922077922,0.7214025989940445,0.848789799583815,0.42857142857142855,0.3530879676875177,0.5075316682156723,154,4.234848484848484,4.121212121212121,4.345265151515151
deepseek_v4_pro,DeepSeek V4 Pro,field_constrained,Field Constrained,512,0.396484375,0.35503511324318504,0.439475393449443,154,0.8831168831168831,0.8228115653791813,0.9247740238673453,0.33766233766233766,0.2677309182760858,0.4154955269584369,154,3.997835497835498,3.8766233766233764,4.12012987012987
deepseek_v4_pro,DeepSeek V4 Pro,extract_localize_verify,ELV,512,0.484375,0.4413643447142569,0.5276183732770832,154,0.8636363636363636,0.8005230453192604,0.9090497173554091,0.42207792207792205,0.3469017453809921,0.5010469483315787,154,4.071428571428571,3.9545454545454546,4.188311688311688
deepseek_v4_pro,DeepSeek V4 Pro,protected_slot_realization,Protected,512,0.85546875,0.8223623276661127,0.8832808380309003,154,0.7727272727272727,0.7003768085288128,0.8318027634771893,0.6818181818181818,0.604596215924593,0.7501901654127416,154,3.383116883116883,3.2705627705627704,3.4956709956709955
deepseek_v3_2,DeepSeek V3.2,naive,Naive,512,0.388671875,0.34742797463672115,0.43157389105157695,154,0.6038961038961039,0.5250258825516004,0.6777091924983053,0.33766233766233766,0.2677309182760858,0.4154955269584369,154,3.6796536796536796,3.494561688311688,3.858225108225108
deepseek_v3_2,DeepSeek V3.2,field_constrained,Field Constrained,512,0.462890625,0.42013716203671736,0.5061967931927154,154,0.7272727272727273,0.6520431549527855,0.7914398217188828,0.4675324675324675,0.39048093261300176,0.5461643564339028,154,3.418831168831169,3.257575757575758,3.58008658008658
deepseek_v3_2,DeepSeek V3.2,extract_localize_verify,ELV,512,0.38671875,0.34552794745577303,0.42959675798144265,154,0.6948051948051948,0.6180692927455592,0.7620589729730137,0.35714285714285715,0.2857880373562984,0.43545123445008155,154,3.779220779220779,3.5974025974025974,3.9545454545454546
deepseek_v3_2,DeepSeek V3.2,protected_slot_realization,Protected,512,0.748046875,0.7086901555300428,0.7837091963574333,154,0.7727272727272727,0.7003768085288128,0.8318027634771893,0.6558441558441559,0.5778377286824492,0.7262648838924093,154,3.403679653679654,3.2467532467532467,3.5595238095238093
qwen3_6_35b_a3b_nothink,Qwen3.6-35B-A3B,naive,Naive,512,0.375,0.3341426983074157,0.417719045623305,154,0.487012987012987,0.40935240799808725,0.5653057076206747,0.33766233766233766,0.2677309182760858,0.4154955269584369,154,3.9956709956709955,3.8506493506493507,4.134199134199134
qwen3_6_35b_a3b_nothink,Qwen3.6-35B-A3B,field_constrained,Field Constrained,512,0.43359375,0.39131972552170646,0.4768568259414889,154,0.5844155844155844,0.5054510782064245,0.6592711702716236,0.37012987012987014,0.29789912399152113,0.4486820321960971,154,4.0021645021645025,3.8647186147186146,4.1309523809523805
qwen3_6_35b_a3b_nothink,Qwen3.6-35B-A3B,extract_localize_verify,ELV,512,0.359375,0.31900274557659414,0.4018417163454666,154,0.487012987012987,0.40935240799808725,0.5653057076206747,0.3116883116883117,0.2438674053584329,0.38867527111361333,154,4.079004329004329,3.9296536796536796,4.220779220779221
qwen3_6_35b_a3b_nothink,Qwen3.6-35B-A3B,protected_slot_realization,Protected,512,0.607421875,0.5644739555080028,0.6487698583015341,154,0.525974025974026,0.4474423133206387,0.6032414554418376,0.5,0.4219976741976088,0.5780023258023912,154,3.418831168831169,3.279220779220779,3.5551948051948052
gpt_5_1,GPT-5.1,naive,Naive,512,0.697265625,0.6561215071994437,0.7354716781598878,154,0.6493506493506493,0.571185889199223,0.7202457811850163,0.512987012987013,0.43469429237932544,0.5906475920019129,154,3.294372294372294,3.1363636363636362,3.4491341991341993
gpt_5_1,GPT-5.1,field_constrained,Field Constrained,512,0.751953125,0.7127602505721561,0.7873934218174851,154,0.7272727272727273,0.6520431549527855,0.7914398217188828,0.6298701298701299,0.5513179678039031,0.702100876008479,154,3.4415584415584415,3.292180735930736,3.591991341991342
gpt_5_1,GPT-5.1,extract_localize_verify,ELV,512,0.759765625,0.7209126284142816,0.7947496849796895,154,0.7207792207792207,0.6452138349372998,0.7855981995437495,0.5844155844155844,0.5054510782064245,0.6592711702716236,154,3.544372294372294,3.383116883116883,3.6969967532467525
gpt_5_1,GPT-5.1,protected_slot_realization,Protected,512,0.810546875,0.7743386557769042,0.8421298241452116,154,0.7402597402597403,0.6657561799445755,0.8030686811083312,0.6753246753246753,0.5978834952164055,0.7442319439303101,154,3.646103896103896,3.4935064935064934,3.7932900432900434
claude_sonnet_4_6_thinking,Claude Sonnet 4.6 Thinking,naive,Naive,512,0.619140625,0.5763388900542706,0.6601678852617613,154,0.5909090909090909,0.5119624959657405,0.6654306947029269,0.36363636363636365,0.2918363944491781,0.442073819547821,154,4.033549783549784,3.933982683982684,4.132034632034632
claude_sonnet_4_6_thinking,Claude Sonnet 4.6 Thinking,field_constrained,Field Constrained,512,0.625,0.582280954376695,0.6658573016925843,154,0.8961038961038961,0.8378963522036047,0.9350311214241602,0.551948051948052,0.47309327840473736,0.6282742591202154,154,4.373376623376624,4.275974025974026,4.467532467532467
claude_sonnet_4_6_thinking,Claude Sonnet 4.6 Thinking,extract_localize_verify,ELV,512,0.6640625,0.6220634071881622,0.7036180539027669,154,0.7467532467532467,0.672640717039935,0.8088550862035907,0.512987012987013,0.43469429237932544,0.5906475920019129,154,4.147186147186147,4.0519480519480515,4.238095238095238
claude_sonnet_4_6_thinking,Claude Sonnet 4.6 Thinking,protected_slot_realization,Protected,512,0.857421875,0.8244703208053621,0.8850500051427335,154,0.8441558441558441,0.7785793437555855,0.8929805923472267,0.7467532467532467,0.672640717039935,0.8088550862035907,154,4.012987012987013,3.9155844155844157,4.111471861471862
kimi_k2_thinking,Kimi K2 Thinking,naive,Naive,512,0.412109375,0.3702827666408202,0.45524502206046774,154,0.7402597402597403,0.6657561799445755,0.8030686811083312,0.35064935064935066,0.27975421881498386,0.428814110800777,154,4.242424242424242,4.097402597402597,4.376623376623376
kimi_k2_thinking,Kimi K2 Thinking,field_constrained,Field Constrained,512,0.46484375,0.4220636212637802,0.508147494216735,154,0.7857142857142857,0.7143714117460493,0.843150044641191,0.4155844155844156,0.3407288297283765,0.49454892179357546,154,3.8214285714285716,3.6818181818181817,3.958874458874459
